date,new_cases,new_deaths
2019/12/31,27,0
2020/1/1,0,0
2020/1/2,0,0
2020/1/3,17,0
2020/1/4,0,0
2020/1/5,15,0
2020/1/6,0,0
2020/1/7,0,0
2020/1/8,0,0
2020/1/9,0,0
2020/1/10,0,0
2020/1/11,0,1
2020/1/12,0,0
2020/1/13,0,0
2020/1/14,0,0
2020/1/15,0,1
2020/1/16,0,0
2020/1/17,4,0
2020/1/18,17,0
2020/1/19,136,1
2020/1/20,19,0
2020/1/21,151,3
2020/1/22,140,11
2020/1/23,97,0
2020/1/24,259,9
2020/1/25,441,15
2020/1/26,665,15
2020/1/27,787,25
2020/1/28,1753,25
2020/1/29,1466,26
2020/1/30,1740,38
2020/1/31,1980,43
2020/2/1,2095,46
2020/2/2,2590,45
2020/2/3,2812,57
2020/2/4,3237,65
2020/2/5,3872,66
2020/2/6,3727,72
2020/2/7,3160,73
2020/2/8,3418,86
2020/2/9,2607,89
2020/2/10,2974,97
2020/2/11,2490,108
2020/2/12,2028,97
2020/2/13,15141,254
2020/2/14,4156,13
2020/2/15,2538,143
2020/2/16,2007,142
2020/2/17,2052,105
2020/2/18,1890,98
2020/2/19,1750,139
2020/2/20,394,112
2020/2/21,891,118
2020/2/22,826,109
2020/2/23,647,98
2020/2/24,218,150
2020/2/25,515,70
2020/2/26,410,52
2020/2/27,439,29
2020/2/28,329,44
2020/2/29,428,47
2020/3/1,574,35
2020/3/2,205,42
2020/3/3,127,32
2020/3/4,119,37
2020/3/5,117,31
2020/3/6,170,30
2020/3/7,101,28
2020/3/8,46,27
2020/3/9,45,23
2020/3/10,20,17
2020/3/11,29,22
2020/3/12,24,11
2020/3/13,22,7
2020/3/14,19,15
2020/3/15,22,9
2020/3/16,25,13
2020/3/17,43,9
2020/3/18,23,16
2020/3/19,44,8
2020/3/20,99,4
2020/3/21,52,6
2020/3/22,65,6
2020/3/23,138,9
2020/3/24,69,7
2020/3/25,78,4
2020/3/26,102,6
2020/3/27,94,5
2020/3/28,119,3
2020/3/29,113,5
2020/3/30,98,2
2020/3/31,84,3
